Saint,Birth Location: Specific,Birth Region,Birth Country,Latitude,Longitude
Ninian,null,Britain,Britain,,
Columba,Donegal,Ulster,Ireland,,
Kentigern,null,Fifeshire,Scotland,,
Servanus,null,Israel,Israel,,
Margaret,null,Hungary,Hungary,,
Brigid,Uinmeras,Leinster,Ireland,,
Ite,Waterford,Munster,Ireland,,
Abban,null,Leinster,Ireland,,
Bairre of Cork,Cork,Munster,Ireland,,
Berach,Leitrim,Connaught,Ireland,,
Ciaran of Saigher,West Cork,Munster,Ireland,,
Coemgen,Glendalough,Leinster,Ireland,,
Maedoc,null,Connaught,Ireland,,
Mochuda,River Maine,Ulster,Ireland,,
Ruadan,null,Munster,Ireland,,
Darerca,Louth,Leinster,Ireland,,
Samthann,null,Ulster,Ireland,,
Brendan of Clonfert,null,Munster,Ireland,,
Gillenius,null,Leinster,Ireland,,
Colman Ela,null,Leinster,Ireland,,
Adamnan,Donegal,Ulster,Ireland,,
