Saint,Birth Location: Specific,Birth Region,Birth Country,Death Location: Specific,Death Region,Death Country,birth_location_query,Birth Latitude,Birth Longitude
Ninian,,,Britain,,,,Britain,54.3151594,-1.9181532
Columba,Donegal,Ulster,Ireland,Iona,Argyllshire,Scotland ,"Donegal, Ulster, Ireland",54.6537924,-8.1102616
Kentigern,,Fifeshire,Scotland ,Glasgow,Lanarkshire,Scotland ,"Fifeshire, Scotland ",,
Servanus,,,Israel,Dunning,Perthshire,Scotland ,Israel,30.8124247,34.8594762
Margaret,,,Hungary,Edinburgh,Midlothian,Scotland ,Hungary,47.1817585,19.5060937
Brigid,Uinmeras,Leinster,Ireland,Kildare,Leinster ,Ireland,"Uinmeras, Leinster, Ireland",,
Ite,Waterford,Munster,Ireland,Killeedy,Munster,Ireland ,"Waterford, Munster, Ireland",52.2609997,-7.1119081
Abban,,Leinster,Ireland,,,,"Leinster, Ireland",53.118465,-6.9918183
Bairre of Cork,Cork,Munster,Ireland,Cork,Munster,Ireland,"Cork, Munster, Ireland",51.8985136,-8.4726423
Berach,Leitrim,Connaught,Ireland,Cluain Coirpthe,Connaught,Ireland,"Leitrim, Connaught, Ireland",,
Ciaran of Saigher,West Cork,Munster,Ireland,Saighir,Leinster ,Ireland,"West Cork, Munster, Ireland",51.6421335,-9.2027044
Coemgen,Glendalough,Leinster,Ireland,Glendalough,Leinster ,Ireland,"Glendalough, Leinster, Ireland",53.0105539,-6.3273703
Maedoc,,Connaught,Ireland,Port na Bfinnlec,Leinster ,Ireland,"Connaught, Ireland",53.8560686,-9.299321
Mochuda,River Maine,Ulster,Ireland,Lismore,Munster,Ireland,"River Maine, Ulster, Ireland",55.2601024,-7.4083952
Ruadan,,Munster,Ireland,,,,"Munster, Ireland",52.3076216,-8.5708973
Darerca,Louth,Leinster,Ireland,Armagh,Ulster,Ireland,"Louth, Leinster, Ireland",53.9062849,-6.5320502
Samthann,,Ulster,Ireland,Clonbroney,Leinster ,Ireland,"Ulster, Ireland",54.0934659,-7.1989794
Palladius,,,null ,Fordoun,Aberdeenshire,Scotland ,null ,40.788106,35.0218961
Brendan of Clonfert,,Munster,Ireland ,Clonfert,Connaught,Ireland,"Munster, Ireland ",52.3076216,-8.5708973
Drostanus,,,null ,,,,null ,40.788106,35.0218961
Gillenius,,Leinster,Ireland,Bobbi,Umbria,Italy,"Leinster, Ireland",53.118465,-6.9918183
Colman Ela,,Leinster,Ireland,,,Ireland,"Leinster, Ireland",53.118465,-6.9918183
Adamnan,Donegal,Ulster,Ireland,Iona,Argyllshire,Scotland ,"Donegal, Ulster, Ireland",54.6537924,-8.1102616
Cuthbert,,,null ,Lindisfarne,Northumberland,England,null ,40.788106,35.0218961
